sentimen,tweet,tweet_preprocess
negatif,Kasihan ya hari gini baru bicara harga2,kasihan ya gin bicara harga
positif,TGB menilai Jokowi bahwa pada Debat kemarin Jokowi kuasai soal bagaimama membangun ekonomi kreatif.  #01JokowiAmin #JokowiMenangTotalDebat @AlvinoLulu @Barna_byo @katerinaKwari https://bisnis.tempo.co/read/1195571/tgb-nilai-jokowi-menguasai-soal-ekonomi-kreatifÂ â€¦,tgb nilai jokowi debat kemarin jokowi kuasa bagaimama bangun ekonomi kreatif alvinolulu barna byo katerinakwari https bisnis tempo co read tgb nilai jokowi kuasa ekonomi kreatif
positif,"#bukansalahbapak  Ditanya soal Kritik Prabowo, AHY Minta Hargai Pemimpin Pendahulu  http://kom.ps/AFzEo4Â ",kritik prabowo ahy harga pimpin dahulu http kom ps afzeo
negatif,Debat: Prabowo Mau Belajar Ekonomi Ke Tiongkok! Lupa Kalau Kampret Benci China  http://bit.ly/2P6pDOZÂ ,debat prabowo ajar ekonomi tiongkok lupa kampret benci china http bit ly ppdoz
netral,Orang2 yg benar faham ekonomi yg akan membantu Pak @prabowo  https://youtu.be/C1kniFZ9VpEÂ ,orang yg faham ekonomi yg bantu prabowo https youtu be cknifzvpe
negatif,"Gimana mau main Mobile legend kalo paket aja nggak kebeli krn ekonomi lemah. Jawaban Prabowo Cerdas dan kena tepat ke Jantung masalah,kalo Jae kasih pertanyaan biar dianggap dia manusia millenial padahal dungu nggak ketulungan...hehhehee...",gimana main mobile legend kalo paket aja nggak kebel krn ekonomi lemah prabowo cerdas kena jantung kalo jae kasih pe anyaan biar anggap manusia millenial dungu nggak ketulungan hehhehee
negatif,Goblog aje ampe ada yg mempermasalahin Moba PUBG... pak @jokowi cmn ngikutin trend utk milenial utk lbih bisa dipahamin.. kan kalo liat full videonya dia lg bahas EKONOMI DIGITAL.. ESPORT itu salah satunya... PUBG ama MOBA tuh bagian dri ESPORT.. wakkaakaka,goblog aje ampe yg mempermasalahin moba pubg jokowi cmn ngikutin trend utk milenial utk lbih dipahamin kalo liat full video lg bahas ekonomi digital espo salah satu pubg ama moba tuh dri espo wakkaakaka
negatif,"Setelah itu saya nyerocos tentang Profesor Sumitro Joyohadikusumo, Ekonomi Benteng, Orde Lama, Orde Baru, karier militer Pak Prabowo, soal beliau jadi menantu Pak Harto, dan semacamnya. Tetangga kamar kaget saat saya bilang Pak Sumitro itu keturunan Tionghoa dan non-muslim...",nyerocos profesor sumitro joyohadikusumo ekonomi benteng orde orde karier militer prabowo beliau menantu ha o macam tetangga kamar kaget bilang sumitro turun tionghoa non muslim
positif,"Senang,gembira lihat lautan manusia kemarin tepatnya tgl 13 April 2019,pintar cinta damai bukan provokator dan tdk muda percaya Hoax  mendukung pak @jokowi   Jgn Golput.PANCASILA&TOLERANSI,NKRI HARGA MATI #KonserPutihBerSATU pic.twitter.com/U18oPok30w",senang gembira lihat laut manusia kemarin tepat tgl april pintar cinta damai provokator tdk muda percaya hoax dukung jokowi jgn golput pancasila toleransi nkri harga mati pic twitter com uopokw
negatif,"Anjing aja lebih punya harga diri dari pada kalia @projo45 yg rela nyuri/maling cm demi terlihat rame,,, apa pak @jokowi  yg instruksikan  kalian spy menghalalka  segala cara..!?",anjing aja harga kalia projo yg rela nyuri maling cm rame jokowi yg instruksi spy menghalalka
negatif,Tetapi tetap tdk bisa kebijakan ekonomi nasional hanya di dasarkan pada 1 - 2 orang yg mengeluh harga2 mahal. Mau di bawa ke mana ekonomi negara ini..?,tdk bijak ekonomi nasional dasar orang yg keluh harga mahal bawa ekonomi negara
positif,"Kadang bingung juga, mereka2 yg tak bersyukur ada infrastruktur jembatan mempermudah kegiatan perekonomian di timur indonesia  Preaiden kalo cuma mau menang bangun aja di jawa selesai dpt dukung banyak Tapi jokowi menjalan pembangunan keadilan seluruh rakyat #IndonesiaOptimis",kadang bingung yg syukur infrastruktur jembatan mudah giat ekonomi timur indonesia preaiden kalo menang bangun aja jawa selesai dpt dukung jokowi jalan bangun adil rakyat
netral,"Pak, liat ini pak.  @jokowi @prabowo @Chilli_Pari @sandiuno @kaesangp @LuhutBinsar  https://youtu.be/qlB7vg4I-ToÂ    Tolong digajih team yg bikin film dokumenter sekeren iniðŸ˜­  Bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu :((",liat jokowi prabowo chilli pari sandiuno kaesangp luhutbinsar https youtu be qlbvgi to tolong gajih team yg bikin film dokumenter keren bikin nang ngerasa salah banget lupa cabut cas matiin lampu
netral,"Namun, sebagai anak seorang ahli ekonomi, fenomena ransel besar Prabowo juga sesuatu yang wajar bagi Yunus. prabowo sandiuno #PrabowoSandi #IndonesiaMenang #IndonesiaAdilMakmur",anak ahli ekonomi fenomena ransel prabowo wajar yunus prabowo sandiuno
positif,"Ini penutup debat kemaren, pak Prabowo dan pak Sandi akan memberi sepenuhnya gaji mereka sbg presiden n wakil presiden untuk membantu rakyat miskin. Tp sebelum debat ini juga, pendukung PADI sih udah pd tau. Ya ga ya ga???  http://dlvr.it/R2lf3yÂ ",tutup debat kemaren prabowo sandi sepenuh gaji sbg presiden n wakil presiden bantu rakyat miskin tp debat dukung padi sih udah pd tau ya ga ya ga http dlvr it rlfy
negatif,Masak kebijakan ekonomi nasional hanya di dasarkan pada keluhan 1 - 2 orang harga mahal..? Mau dibawa kemana ekonomi negara ini..? ðŸ˜,masak bijak ekonomi nasional dasar keluh orang harga mahal bawa mana ekonomi negara
positif,Beneran itu paling kocak kemaren..ditambah lagi pas uno diajarin ekonomi makro ama pak Jokowi..anjaaay lulusan summa cum laude diajarin ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜… tamat dah itu pasangan 02 ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,beneran kocak kemaren tambah pas uno diajarin ekonomi makro ama jokowi anjaaay lulus summa cum laude diajarin tamat dah pasang
positif,"Jokowi lebih cepat merespon perubahan & tuntutan jaman, merangkul semua kalangan & hasil kerjanya nyata. Sentuhan jokowi mengangkat harga diri bangsa dimata dunia. Memilih jokowi, melawan khilafah & preman brjubah yg menjual agama u/ takut2i rakyat",jokowi cepat merespon ubah tuntut jaman rangkul kalang hasil kerja nyata sentuh jokowi angkat harga bangsa mata dunia pilih jokowi lawan khilafah preman brjubah yg jual agama u takut rakyat
netral,"Boleh. Ketemuan ya kita? Berapa nomor whatsapp ente? Saya di Pebayuran, Bekasi. Petani di Pebayuran ga ada masalah. Harga fluktuatif, normal. Kisaran 4.200 sampai 4.800 per kilo untuk gabah kering.",ketemu ya nomor whatsapp ente bayur bekas tani bayur ga harga fluktuatif normal kisar kilo gabah kering
netral,Ada berapa jumlh buku sale  brap harganya@FaldoMaldini@prabowo tolong,jumlh buku sale brap harga faldomaldini prabowo tolong
negatif,Ternyata omm wowo ga mahir ekonomi Sandi kan pengusaha masa ga tw begituan.. Mw dibawa kemana rakyat nanti hny diteriakin dg ilusi,omm wowo ga mahir ekonomi sandi usaha ga tw begitu mw bawa mana rakyat hny diteriakin dg ilusi
negatif,"Sandi Uno bicara soal ekonomi global yg buat contoh Sample Ibu Murji'ah sama Ibu Paijem dari Tegal hahahhahaha,,,,,",sandi uno bicara ekonomi global yg contoh sample murji ah paijem tegal hahahhahaha
netral,"Dibukuny konsep prabowo : tidak impor dan hutang luar negeri yg jor2an, meningkat rasio pajak,  menutup kran2 kebocoran apbn, industrialisasi, meningkatkn gaji pns dan penegak hukum utk mengurangi korupsi, memperkuat KPK, dsb",dibukuny konsep prabowo impor hutang negeri yg joran tingkat rasio pajak tutup kran bocor apbn industrialisasi meningkatkn gaji pns tegak hukum utk kurang korupsi kuat kpk dsb
negatif,"Sebetulnya Pak Prabowo mau bilang, Lu jadi presiden 4,5 tahun ngapain aje? Gitu lo mbak! Polos banget! Pertmbuhan ekonomi meroket Dari 7% jadi 5%. Hebat ga tuh?",prabowo bilang lu presiden ngapain aje gitu lo mbak polos banget pe mbuhan ekonomi roket hebat ga tuh
netral,*sementara itu*   Prabowo tadi malam memuji & menyarankan agar Indo meniru Tiongkok dalam perekonomian & pemberantasan kemiskinan.  https://twitter.com/tempodotco/status/1117317831421353984Â â€¦,prabowo malam puji saran indo tiru tiongkok ekonomi berantas miskin https twitter com tempodotco status
negatif,"Jokowi ikut ikutan saya akan mewakafkan diri saya untuk negara.   Heleh, wakaf tuh gak ambil gaji. Jangan kan gak ambil gaji. Wong kampanye aja masih minta di gaji negara",jokowi ikut wakaf negara heleh wakaf tuh gak ambil gaji gak ambil gaji kampanye aja gaji negara
positif,"Best quote of the day: Dengan Mencoblos Prabowo Sandi, Anda Telah Berinfaq Selama 5 Tahun, Karena Gaji Mereka Disumbangkan Pada Kaum Dhuafa & Anak Yatim #prabowosandimenang #UASdifitnahKejiDanBrutal",best quote of the day coblos prabowo sandi berinfaq gaji sumbang kaum dhuafa anak yatim
negatif,"18M, 1M, 8M, hhhhhh Oke deh gini, prestasi bapak sandi dalam membangkitkan ekonomi secara signifikan apa? Solusi bapak prabowo mengentaskan pendidikan orang orang bodoh seperti apa? Kalau memang pemerintahan sekarang buruk,sistem apa yang harus diubah? Satu aja dan solusi.  https://twitter.com/edwan1479/status/1117396332900052992Â â€¦",m m m hhhhhh oke deh gin prestasi sandi bangkit ekonomi signifikan solusi prabowo entas didik orang orang bodoh sepe i perintah buruk sistem ubah aja solusi https twitter com edwan status
netral,"TIDAK impor hal yang MUDAH. Imbasnya harga SEMBAKO naik. Ente bakal kaing2 karena harga mahal. Semakin banyak produksi, harga jual jadi murah, yang rugi petani juga. Bukan jumlahnya yg digenjot, tapi link ke pembeli yg perlu diperbaiki. Maka perlunya melek teknologi.",impor mudah imbas harga sembako ente kaing harga mahal produksi harga jual murah rugi tani yg genjot link beli yg baik melek teknologi
negatif,"Itu sama kayak Tentara dulu mbak. Zaman firaun tentara itu ndak digaji, hanya dikasih kekuasaan utk kelola sesuatu saja. Bahkan kalau perang yang dipakai adalah para budak sebagai pasukan berani mati. PROFESI @prabowo itu, dulu adalah pekerjaannya para BUDAK.  DUNIA BERKEMBANG.",kayak tentara mbak zaman firaun tentara ndak gaji kasih kuasa utk kelola perang pakai budak pasu berani mati profesi prabowo kerja budak dunia kembang
negatif,Kalau ngga mampu ya jangan janji mas.....yg ngomong Dan bikin rencana kan anda sendiri....ekonomi tumbuh 7% ....sekarang ko merong merong ngga tercapai....kalah sama Malay Dan thailand,ngga ya janji mas yg ngomong bikin rencana ekonomi tumbuh ko rong rong ngga capai kalah malay thailand
positif,"Wajar pak @jokowi mengucapkan "" #TerimaKasihIstriku "" pada ibu Iriana.  Karena..,  Berkat istri yg tidak pungam/sok-sok'an, beliau bisa fokus memperbaiki ekonomi kita yg sudah ""SALAH ARAH"" berpuluh tahun.  {kata @prabowo loh }  Dan berhasil nyataðŸ‘ðŸ»  pic.twitter.com/ADg1EU27jP",wajar jokowi iriana berkat istri yg pungam sok sok an beliau fokus baik ekonomi yg salah arah puluh prabowo loh hasil nyata pic twitter com adgeujp
positif,"Bnyk beramal,jgn salahkan presiden, otaknya gak jenius.masaknnya bs jdi kurang enak n harga jualnya mahal jadinya sepi pembeli ðŸ™ðŸ™",bnyk amal jgn salah presiden otak gak jenius masaknnya bs jdi enak n harga jual mahal sepi beli
netral,"kenapa skrg lesu? krn daya beli berkurang... sebabnya biaya hidup mahal... TDL naik, BBM naik Tol mahal pajak mahal berimbas kepada biaya produksi dan transportasi besar... sehingga harga hrs naik... harga naik konsumen turun... pendapatanpun ikut turun...",skrg lesu krn daya beli kurang biaya hidup mahal tdl bbm tol mahal pajak mahal imbas biaya produksi transpo asi harga hrs harga konsumen turun dapat turun
negatif,Kata siapa mas?  Sesekalia jalan2 ke karawang sini.. Petani disini menjerit semenjak jokowi harga gabah turun drasti karena banyak impor saat panen raya #savepetanikarawang,mas sesekalia jalan karawang tani jerit semenjak jokowi harga gabah turun drasti impor panen raya
negatif,"Bego lu...itu kan drama hoax kubu mas wowo... Lagian partai demokrat sudah di lecehkan aja msh aja koarÂ²,ga punya harga diri lu...ðŸ˜",bego lu drama hoax kubu mas wowo pa ai demokrat leceh aja msh aja koar ga harga lu
negatif,"Tolol.. yng mengembangkan digital jangan yg busung lapar lah.. emang manusia indonesia cuma satu? Pakai pendekatan ekonomi makro, bukan pakai satu dua kasus  Duit kan berputar, dihasilkan di industri A kemudian diputar ke perbaikan busung lapar. Paham gak ente??.",tolol yng kembang digital yg busung lapar emang manusia indonesia pakai dekat ekonomi makro pakai duit putar hasil industri a putar baik busung lapar paham gak ente
netral,AHY Minta Prabowo Hargai Jasa Presiden Sebelumnya ,ahy prabowo harga jasa presiden
negatif,Memang @sandiuno itu tdk memahami apapun tentang mengelola negara.Termasuk org disekitarnya yg memberi masukan ekonomi kpd cawapres nya,sandiuno tdk paham apa kelola negara org sekitar yg masuk ekonomi kpd cawapres nya
negatif,Edunnn.... Sekelas Menterinya pak @jokowi  Sekelas Pejabatnya @cakimiNOW @DPP_PKB  Bisa2nya nyebar hoax. @kemkominfo @rudiantara_id digaji rakyat ngapain aja klo temen sendiri nyebar HOAX dibiarkan????,edunnn kelas menteri jokowi kelas jabat cakiminow dpp pkb bisa nyebar hoax kemkominfo rudiantara id gaji rakyat ngapain aja klo temen nyebar hoax biar
netral,Nyatanya Pemerintah di Era Jokowi Sangat Mendukung Perkembangan Ekonomi DigitalÂ  #bukansalahbapak #JokowiMenangTotalDebat #TerimaKasihIstriku #PrabowoSalahkanSBY pic.twitter.com/uLJ9uFyhFi,perintah era jokowi dukung kembang ekonomi digital pic twitter com uljufyhfi
negatif,Ketika wanita lain cerewat pada suaminya #TerimaKasihIstriku Yang masih belum tau sekarnag dimana kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi,wanita cerewat suami tau sekarnag mana cerewet tukang sayur harga jokowi
positif,"Kalau pak prabowo saya tau dia dari dulu memang tak ambil gaji semasa masih jadi anggota..  Info dari bpk2 purna beda orang beda tempat.. Dgr ttg pak prabowo dari mereka, saya yakin mereka jujur   #TusukPrabowoSandi #TusukPrabowoSandi",prabowo tau ambil gaji anggota info bpk purna beda orang beda dgr ttg prabowo jujur
negatif,"Ada yg bilang Trans Papua, MRT Karya Jokowi....HEBOH 1 Indonesia memprotes pernyataan itu. Satu orang yg lainnya bilang ""Pembangunan Ekonomi salah Arah, bkn salah Jokowi tp salah Presiden SebelumÂ²nya""... DIAM SATU INDONESIA ... Krik krik krik Ternyata satu org ini sungguh sakti..",yg bilang trans papua m karya jokowi heboh indonesia protes nyata orang yg bilang bangun ekonomi salah arah bkn salah jokowi tp salah presiden nya diam indonesia krik krik krik org sungguh sakti
negatif,"Overheard   ðŸ‘§ ehmm jokowi bagus sih di segi pembangunan ðŸ™Ž iyaa ekonomi jg makin maju ðŸ‘§ tapi ya gue males sih milih dia. Soalnya pembangunannya ga gua rasain. Dia bikin jalan tol, gua kan kemana2 naik motor  Awas aja lu mudik lewat tol ya bu!",overheard ehmm jokowi bagus sih segi bangun iyaa ekonomi jg maju ya gue males sih milih bangun ga gua rasain bikin jalan tol gua mana motor awas aja lu mudik tol ya bu
positif,Mau beramal terus setiap bulan selama 5 tahun??   Pilih @prabowo @sandiuno !  Gaji mereka sebagai RI-1 dan 2 selama 5 tahun akan disedekahkan ...  Allah Mahakaya. Para pemilihnya pasti kebagian berkahnya.  Gak mau?,amal pilih prabowo sandiuno gaji ri sedekah allah mahakaya pilih bagi berkah gak
negatif,"Bicara soal pajak. Soal ingin menaikkan pajak. Semuanya serba pajak. Pajak sekarang belum bayar, sok sokan mau naikin pajak. Sehat prabowo? #JokowiMenangTotalDebat #JokowiPutihkanGBK #Capres02TukangTeror pic.twitter.com/AYyBEPYarP",bicara pajak naik pajak serba pajak pajak bayar sok sok naikin pajak sehat prabowo pic twitter com ayybepyarp
positif,dia juga ingin merasakan peluh keringat yg jg dirasakan pendukungnya yg sdh berkumpul sejak pagi..itulah penghargaan tertinggi utk rakyat #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #01IndonesiaMaju,rasa peluh keringat yg jg rasa dukung yg sdh kumpul pagi harga te inggi utk rakyat
negatif,Pak Jokowi terlihat tidak paham soal ekonomi makro dan mikro romlah. ðŸ˜‚ðŸ˜‚ðŸ˜‚,jokowi paham ekonomi makro mikro romlah
netral,Dear bapak @jokowi @prabowo saya butuh Kartu Skincare yang unlimited dan Kartu potongan harga kalo beli gincu.,dear jokowi prabowo butuh ka u skincare unlimited ka u potong harga kalo beli gincu
negatif,"Hahaha peluang lapangan kerja? Elo hitung berapa warga negara Indonesia yg main esport, terus berapa yg punya penghasilan dari esport? Nggak ada seujung kuku, jadi sia sia. Prioritaskan lapangan kerja, ekonomi mikro, swasembada pangan. Kita masih negara berkembang, bukan maju.",hahaha peluang lapang kerja elo hitung warga negara indonesia yg main espo yg hasil espo nggak ujung kuku sia sia prioritas lapang kerja ekonomi mikro swasembada pangan negara kembang maju
negatif,Lah kalian yg mulai kata nya klo gak milih jokowi gak bleh naik tol pas lebaran.   Kalian lupa lwt tol bayar pembangunan tol dari pajak rakyat.. hasil ngutang jga yg bayar rakyat emang jokowi doang yg bayar mikir.  1 lgi gw cma pengen memperjelas maksud klian bkn menyerang kalian,yg nya klo gak milih jokowi gak bleh tol pas lebaran lupa lwt tol bayar bangun tol pajak rakyat hasil ngutang jga yg bayar rakyat emang jokowi doang yg bayar mikir lgi gw cma ken jelas maksud klian bkn serang
netral,"Jokowi: 5 Tahun ke Depan, Ekonomi Indonesia Makin Kuat  https://m.liputan6.com/bisnis/read/3940876/jokowi-5-tahun-ke-depan-ekonomi-indonesia-makin-kuatÂ â€¦",jokowi ekonomi indonesia kuat https m liput com bisnis read jokowi ekonomi indonesia kuat
positif,"ga ada yg di buat"" dari gestur pak @prabowo  & bang @sandiuno ,semua alami. no pencitraan no nyontek""an. itu menandakan pa PS menghargai rakyat yg mengamanahkan kepercayaan kpd mrk & Sandi mengajak org"" yg blm mempunyai pilihan supaya tdk ragu utk mencoblos no.02",ga yg gestur prabowo bang sandiuno alami no citra no nyontek an tanda pa ps harga rakyat yg amanah percaya kpd mrk sandi ajak org yg blm pilih tdk ragu utk coblos no
negatif,gaji bakal seluruhnya disumbang kerakyat wkwk jaman purba,gaji sumbang rakyat wkwk jaman purba
positif,Pembahasan perekonomian yg digagas Prabowo sandi menurunkan tarif2 harga yg kian meroket menjadi stabil... Itu yg aku tunggu..,bahas ekonomi yg gagas prabowo sandi turun tarif harga yg kian roket stabil yg tunggu
positif,"Itu bisnis hardware, bukan esport. Kalau kita pengekspor hardware seperti itu gw dukung, tapi ini kita sebagai user, pengaruh kepada ke ekonomian kita nggak ada seujung jari.",bisnis hardware espo ekspor hardware sepe i gw dukung pengaruh ekonomi nggak ujung jari
netral,"Tak Ambil Gaji Jika Menang Pilpres, Prabowo-Sandi Ikuti Sederet Presiden Terkenal #Prabowo  http://www.rmoljakarta.com/read/2019/04/14/56505/Tak-Ambil-Gaji-Jika-Menang-Pilpres,-Prabowo-Sandi-Ikuti-Sederet-Presiden-Terkenal-Â â€¦",ambil gaji menang pilpres prabowo sandi ikut deret presiden kenal http www rmoljaka a com read ambil gaji menang pilpres prabowo sandi ikut deret presiden kenal
negatif,Emg bisa ya saksi menghalangi??? Dia bukannya cmn ngejelasin aja? Yg menentukan boleh tidaknya kan panitianya? Gmn shi? Apa kami pikir itu panitianya digaji @prabowo ya bukan digaji @jokowi ? ðŸ¤¦ðŸ»â€â™‚ï¸ðŸ˜…ðŸ¤£ðŸ¤£ðŸ¤£,emg ya saksi halang cmn ngejelasin aja yg tentu tidak panitia gmn shi pikir panitia gaji prabowo ya gaji jokowi
netral,Kan Pak bowo sdh ungkap semlm waktu debat.ini salah kelola perekonomian presiden2 sebelumnya.bukan salah Pak Jokowi kata Pak Bowo.,bowo sdh semlm debat salah kelola ekonomi presiden salah jokowi bowo
netral,"Arah Perekonomian Indonesia Salah, Kata Prabowo - Warta Ekonomi  https://www.wartaekonomi.co.id/read223690/arah-perekonomian-indonesia-salah-kata-prabowo.htmlÂ â€¦",arah ekonomi indonesia salah prabowo wa a ekonomi https www wa aekonomi co id read arah ekonomi indonesia salah prabowo html
positif,"Ternyata ga cuma aku ya yg terheran2. Coba lihat video closing statement Tusuk Prabowo Sandi masa ngomongnya enak bener ""kalau pgn harga sembako murah tusuk P-S, kalau tdk pgn impor2 tusuk P-S"" kayanya sorga bgt dah haha takut aja ntar kaya di Venezuela",ga ya yg heran coba lihat video closing statement tusuk prabowo sandi ngomongnya enak bener pgn harga sembako murah tusuk p s tdk pgn impor tusuk p s kaya sorga bgt dah haha takut aja ntar kaya venezuela
negatif,"Mereka bhkan kalah dari cina soal ekonomi,sama dgan korut soal persenjataan,,arttinya lae ku,sehebat apa pun pemimpin negara kita ini,orang miskin tidak akan bisa di hilangkan..",bhkan kalah cina ekonomi dgan korut senjata a tinya lae ku hebat pimpin negara orang miskin hilang
negatif,"Ketika Prabowo bilang agar contoh Cina. Sepertinya ingin buruhnya kerja 12 jam sehari, libur cuma hari minggu. Trus gaji buruhnya ga dibayar. Seperti nasib 1.400 buruhnya yg gajinya terkatung-katung bertahun-tahun.  https://finance.detik.com/berita-ekonomi-bisnis/d-4510088/selain-kerja-12-jamhari-karyawan-jack-ma-cuma-libur-1-harimingguÂ â€¦",prabowo bilang contoh cina sepe inya buruh kerja jam hari libur minggu trus gaji buruh ga bayar sepe i nasib buruh yg gaji katung katung be ahun https finance detik com berita ekonomi bisnis d kerja jamhari karyawan jack ma libur hariminggu
negatif,Debat terdahulu jebakannya unicorn sekarang mau jebak Prabowo dgn Mobile Legend..Please apa gak ada lg pertanyaan seputar ekonomi kerakyatan..Hobi banget nih orang main jebak jebakan..Jadi gak respect gw #UASdifitnahKejiDanBrutal,debat jebak unicorn jebak prabowo dgn mobile legend please gak lg pe anyaan putar ekonomi rakyat hobi banget nih orang main jebak jebak gak respect gw
positif,Pasti...TPS (tusuk Prabowo sandi ) NKRI harga mati...!!!,tps tusuk prabowo sandi nkri harga mati
positif,"SUDAH WAKTUNYA GANTI PEMIMPIN, KARENA KAMI BUTUH PERUBAHAN , 5 TAHUN PAK JOKOWI MEMANG MEMBANGUN , TETAPI SDM MALAH MENURUN DAN KURANG DALAM EKONOMI PENDAPATAN PERKAVITA RAKYAT JELATA , WAKTUNYA GANTI PEMIMPIN , WAKTUNYA PERUBAHAN.  pic.twitter.com/SqZayZnPuO",ganti pimpin butuh ubah jokowi bangun sdm turun ekonomi dapat perkavita rakyat jelata ganti pimpin ubah pic twitter com sqzayznpuo
positif,Alhamdulillah bang sandi. Semoga bisa memimpin negeri ini bersama pak Prabowo. Kami dukung kebijakan pak Prabowo bersama bang Sandi dalam memperbaiki ekonomi yg terpuruk dalam 4 tahun terakhir.  Salam dari kami Agung S AnfaunnaS (Surabaya),alhamdulillah bang sandi moga pimpin negeri prabowo dukung bijak prabowo bang sandi baik ekonomi yg puruk salam agung s anfaunnas surabaya
positif,Jokowi dan sepakbola indonesia satu tujuan.  Indonesia dihargai negara lain,jokowi sepakbola indonesia tuju indonesia harga negara
positif,Semoga Pak Prabowo jadi Presiden.. agar ekonomi bisa maju dan Dunia Perawat menjadi lebih baik,moga prabowo presiden ekonomi maju dunia awat
netral,"Pernyataan Prabowo Subianto dalam debat capres tadi malam, yang menyebutkan penanganan ekonomi adalah kesalahan presiden sebelumnya, dijadikan bumerang oleh TKN Jokowi-Ma'ruf.  http://news.rakyatku.com/read/147459/2019/04/14/erick-thohir-ungkit-pernyataan-prabowo-andi-arief-sby-tak-marah-kok-pak-erick-Â â€¦",nyata prabowo subianto debat capres malam tangan ekonomi salah presiden jadi bumerang tkn jokowi ma ruf http news rakyat com read erick thohir ungkit nyata prabowo andi arief sby marah erick
negatif,"Bagi Jokowi, rakyat indonesia sudah makmur, ekonomi naik 5% itu suatu prestasi luar biasa alias meroket Tapi yg bikin saya bingung kenapa mesti keluar kartu kartu lagi ðŸ˜‚ðŸ˜‚ðŸ˜‚",jokowi rakyat indonesia makmur ekonomi prestasi alias roket yg bikin bingung mesti ka u ka u
netral,Gaji ditransfer aja. Hemat ongkos. ðŸ˜,gaji transfer aja hemat ongkos
positif,Bahas harga pisang yang naik turun,bahas harga pisang turun
negatif,"Tidak dapat membedakan mana uang rakyat untuk gaji yang dimakan anak istrinya dengan syahwat seolah akan berkuasa selamanya, ingat : ITUPUN KAN BERLALU",beda uang rakyat gaji makan anak istri syahwat kuasa itu
negatif,"Terus pencabutan subsidi tu kmana larinya ??? pembangunan infrastruktur kan hasil ngutang,ekonomi yg ktanya meroket nyatanya macet,yg jelas dipake korupsi partai pendukung khususnya PDIP,salut buat loe yg g perlu subsidi,tapi apakah rakyat Indonesia setara sama loe ekonominya ???",cabut subsidi tu kmana lari bangun infrastruktur hasil ngutang ekonomi yg ktanya roket macet yg dipake korupsi pa ai dukung pdip salut loe yg g subsidi rakyat indonesia tara loe ekonomi
positif,"JOKOWI TETAP SEDERHANA DI MATA SAYA  Di mata saya...  Meskipun sepatu Jokowi Harganya 100 juta... Dimata saya , Jokowi tetap sederhana  Mau pake Baju Hugo Boss pun... ,di mata saya Jokowi tetap terlihat...  https://www.facebook.com/100001227365004/posts/2315478811836342/Â â€¦",jokowi sederhana mata mata sepatu jokowi harga juta mata jokowi sederhana pake baju hugo boss mata jokowi https www facebook com posts
positif,Ternyata Jokowi lebih mengerti tetangga ekonomi negara dari pada uno,jokowi menge i tetangga ekonomi negara uno
netral,Meneropong Kondisi Makro Ekonomi Indonesia di Era Jokowi  https://m.liputan6.com/bisnis/read/3940859/meneropong-kondisi-makro-ekonomi-indonesia-di-era-jokowiÂ â€¦,teropong kondisi makro ekonomi indonesia era jokowi https m liput com bisnis read teropong kondisi makro ekonomi indonesia era jokowi
negatif,Baik kan tim nya pak Jokowi?..dikasih duit (katanya)..karena kami paham betapa gembel nya hidupnya kampret..makanya rela harga diri ditukar sama uang yg buat beli bensin mobil aja kagak cukup ðŸ¤­ðŸ¤­,tim nya jokowi kasih duit paham betapa gembel nya hidup kampret rela harga tukar uang yg beli bensin mobil aja kagak
negatif,"Bukan hanya kurang milenial, tapi memang dia sama sekali ga paham potensi bisnis di dunia digitalisasi. Apalagi jika itu tentang ekonomi kreatif dan era industri 4.0 apa yang dia tahu? Nothing! Sementara, saat ini pemerintahan jokowi sudah menyiapkan infrastruktur ke arah sana.",milenial ga paham potensi bisnis dunia digitalisasi ekonomi kreatif era industri nothing perintah jokowi infrastruktur arah
negatif,bisa aja sih ngikutin mereka.. tp mereka kan komunis.. mau sistem ekonomi kita komunis??,aja sih ngikutin tp komunis sistem ekonomi komunis
negatif,"Si Jae dengan PD-nya ngajarin Prabowo-Sandi tentang Ekonomi Makro, bukan kelihatan pintar tapi kelihatan plonga-plongonya. Si Jae-Si Jae laut kok digarami.  Tuman. #TusukPrabowoSandi",si jae pd nya ngajarin prabowo sandi ekonomi makro pintar plonga plongonya si jae si jae laut garam tuman
netral,Pernyataan Prabowo Buat Demokrat Marah - Warta Ekonomi  https://www.wartaekonomi.co.id/read223689/pernyataan-prabowo-buat-demokrat-marah.htmlÂ â€¦,nyata prabowo demokrat marah wa a ekonomi https www wa aekonomi co id read nyata prabowo demokrat marah html
netral,REFOLUSI MENTAL TUH APAAAA. TOLONG JELASINNNNNNN DONG YANG SEKOLAH SAMA PENGHASILANNYA TINGGI,refolusi mental tuh apaaaa tolong jelasinnnnnnn sekolah hasil
